"","x"
"1",3
"2",2
"3",22
"4",10
"5",3
"6",1
"7",27
"8",8
"9",15
"10",10
"11",1
"12",1
"13",27
"14",30
"15",1
"16",1
"17",6
"18",19
"19",3
"20",11
"21",26
"22",21
"23",21
"24",26
"25",1
"26",1
"27",2
"28",14
"29",15
"30",26
"31",4
"32",1
"33",4
"34",1
"35",3
"36",12
"37",1
"38",2
"39",3
"40",4
"41",18
"42",1
"43",1
"44",4
"45",4
"46",1
"47",31
"48",17
"49",6
"50",4
"51",5
"52",22
"53",1
"54",26
"55",30
"56",9
"57",23
"58",2
"59",26
"60",10
"61",1
"62",1
"63",17
"64",1
"65",4
"66",1
"67",1
"68",2
"69",1
"70",1
"71",1
"72",1
"73",6
"74",4
"75",1
"76",1
"77",6
"78",1
"79",7
"80",5
"81",14
"82",7
"83",2
"84",2
"85",1
"86",2
"87",2
"88",1
"89",5
"90",3
"91",5
"92",2
"93",2
"94",1
"95",1
"96",1
"97",3
"98",1
"99",1
"100",2
"101",6
"102",7
"103",3
"104",3
"105",3
"106",2
"107",5
"108",2
"109",1
"110",1
"111",1
"112",1
"113",1
"114",4
"115",2
"116",1
"117",7
"118",1
"119",2
"120",6
"121",4
"122",2
"123",2
"124",6
"125",5
"126",5
"127",5
"128",2
"129",3
"130",2
"131",1
"132",2
"133",17
"134",7
"135",2
"136",10
"137",5
"138",3
"139",10
"140",1
"141",10
"142",4
"143",1
"144",1
"145",4
"146",1
"147",1
"148",9
"149",2
"150",1
"151",3
"152",3
"153",1
"154",3
"155",1
"156",1
"157",4
"158",1
"159",1
"160",1
"161",1
"162",1
"163",3
"164",1
"165",6
"166",1
"167",1
"168",3
"169",4
"170",1
"171",1
"172",2
"173",1
"174",2
"175",1
"176",1
"177",5
"178",5
"179",1
"180",1
"181",3
"182",4
"183",4
"184",1
"185",2
"186",1
"187",2
"188",1
"189",3
"190",1
"191",2
"192",1
"193",2
"194",5
"195",1
"196",1
"197",1
"198",4
"199",2
"200",1
"201",2
"202",2
"203",3
"204",5
"205",1
"206",18
"207",1
"208",1
"209",1
"210",2
"211",1
"212",1
"213",1
"214",2
"215",2
"216",4
"217",1
"218",1
"219",2
"220",4
"221",1
"222",1
"223",1
"224",1
"225",1
"226",1
"227",3
"228",1
"229",1
"230",1
"231",2
"232",10
"233",2
"234",2
"235",3
"236",3
"237",1
"238",2
"239",5
"240",1
"241",1
"242",2
"243",1
"244",5
"245",1
"246",1
"247",1
"248",1
"249",1
"250",7
"251",2
"252",2
"253",1
"254",1
"255",3
"256",2
"257",2
"258",1
"259",7
"260",5
"261",3
"262",5
"263",4
"264",11
"265",9
"266",2
"267",3
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",1
"275",3
"276",1
"277",3
"278",21
"279",1
"280",1
"281",1
"282",1
"283",1
"284",5
"285",1
"286",4
"287",1
"288",1
"289",5
"290",1
"291",2
"292",1
"293",1
"294",1
"295",1
"296",4
"297",1
"298",3
"299",6
"300",16
"301",6
"302",6
"303",1
"304",1
"305",1
"306",1
"307",2
"308",1
"309",2
"310",7
"311",3
"312",1
"313",2
"314",5
"315",4
"316",16
"317",5
"318",15
"319",3
"320",1
"321",2
"322",13
"323",6
"324",1
"325",1
"326",1
"327",6
"328",11
"329",1
"330",12
"331",8
