"","x"
"1",5918990
"2",4509002
"3",4519603
"4",4530229
"5",4549710
"6",4555025
"7",4569197
"8",4565649
"9",4457630
"10",4493040
"11",4496581
"12",4532004
"13",4569193
"14",4578050
"15",4604612
"16",4602846
"17",4627637
"18",4671912
"19",4501921
"20",4629413
"21",4671919
"22",4441686
"23",4445225
"24",4567437
"25",4592226
"26",4694937
"27",4686081
"28",4356748
"29",4705565
"30",4652493
"31",4411583
"32",4450541
"33",4721513
"34",4493045
"35",4493049
"36",4572747
"37",4806515
"38",4808283
"39",4804751
"40",4824223
"41",4834849
"42",4841942
"43",4475359
"44",4595771
"45",4856102
"46",4856103
"47",4905715
"48",4388559
"49",4546179
"50",4608164
"51",4386791
"52",4436382
"53",4539096
"54",4379707
"55",4617026
"56",4516080
"57",4563892
"58",4595777
"59",4622336
"60",4363769
"61",4436383
"62",4503678
"63",4680811
"64",4537329
"65",4292967
"66",4567439
"67",4802984
"68",4346070
"69",4363790
"70",4441697
"71",4539107
"72",4579840
"73",4578065
"74",4795899
"75",4516095
"76",4611714
"77",4707353
"78",4719755
"79",4778192
"80",4792362
"81",4849069
"82",4928740
"83",4335442
"84",4620571
"85",4852567
"86",4650681
"87",4857885
"88",4958831
"89",4436392
"90",4549735
"91",4611716
"92",4850802
"93",4861424
"94",4955290
"95",4955294
"96",4544420
"97",4620572
"98",4657768
"99",4864971
"100",4535567
"101",4606407
"102",4953521
"103",4971231
"104",4960618
"105",4308879
"106",4555051
"107",4702044
"108",4758718
"109",4985401
"110",4305346
"111",4553296
"112",4948210
"113",4997800
"114",4549737
"115",4792370
"116",4275237
"117",4369106
"118",4535569
"119",4641829
"120",4946441
"121",4544430
"122",4551509
"123",4609958
"124",4611723
"125",4655998
"126",4710902
"127",4942900
"128",4636519
"129",4737467
"130",4806541
"131",4981865
"132",4990718
"133",4999573
"134",4572763
"135",4581619
"136",4719756
"137",4779977
"138",4996036
"139",4445256
"140",4556825
"141",4597558
"142",4721553
"143",4776431
"144",4794141
"145",4804819
"146",4942903
"147",4737468
"148",4996043
"149",5011988
"150",5011977
"151",5017291
"152",5027922
"153",4301817
"154",4567456
"155",4570999
"156",4636534
"157",4650693
"158",4935823
"159",4969471
"160",4553288
"161",4592248
"162",4611735
"163",4627672
"164",4741013
"165",4239823
"166",4523185
"167",4781747
"168",4372653
"169",4694982
"170",4737472
"171",4880932
"172",5043858
"173",4480680
"174",4868538
"175",5020849
"176",4209718
"177",4436423
"178",4480679
"179",4679031
"180",4717991
"181",4818945
"182",5045630
"183",4510799
"184",4563917
"185",4592261
"186",4767585
"187",4934058
"188",4946458
"189",4239826
"190",4606425
"191",4898630
"192",5059799
"193",4207948
"194",4229201
"195",4547985
"196",4578090
"197",4597568
"198",4574542
"199",4778210
"200",4967723
"201",4195552
"202",4204409
"203",4207949
"204",4238056
"205",4243369
"206",4707374
"207",4774672
"208",5019067
"209",4188470
"210",4213263
"211",4223890
"212",4475371
"213",4932289
"214",4206180
"215",4478918
"216",4771140
"217",4794176
"218",4996050
"219",5068657
"220",4174303
"221",4190263
"222",4195557
"223",4227433
"224",4275251
"225",4365571
"226",4363800
"227",4817183
"228",4826034
"229",4926981
"230",4960633
"231",5045648
"232",5075745
"233",4153059
"234",4236294
"235",4238060
"236",4241604
"237",4406316
"238",4629454
"239",4877398
"240",4252229
"241",4843743
"242",4985426
"243",4682584
"244",4721550
"245",4829582
"246",4955321
"247",4248690
